model,repeat,fold,train_rows,validation_rows,fit_seconds,predict_seconds,accuracy,recall,specificity,precision,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
logistic_regression,1,1,57719,14430,2.393537399941124,0.01950369996484369,0.7867636867636868,0.8780487804878049,0.7776337856380546,0.2831162447775866,0.4281732020070619,0.9191828557111993,0.5694524048810559,0.8278412830629298,10201,2917,160,1152
logistic_regression,1,2,57719,14430,1.9250640999525785,0.023069499991834164,0.7983367983367984,0.8620426829268293,0.7919652386034457,0.29300518134715026,0.43735498839907194,0.916976859202957,0.5628375822800874,0.8270039607651375,10389,2729,181,1131
logistic_regression,1,3,57719,14430,3.2786291000666097,0.04842649993952364,0.7973665973665973,0.8871951219512195,0.7883823753620979,0.2954314720812183,0.44325971058644326,0.9244049207196219,0.5741413402489558,0.8377887486566586,10342,2776,148,1164
logistic_regression,1,4,57719,14430,3.3801869000308216,0.05642519996035844,0.8024948024948025,0.8704268292682927,0.7957005641103827,0.2987964416535845,0.4448772886638099,0.9169133526266275,0.5295026310814857,0.8330636966893377,10438,2680,170,1142
logistic_regression,1,5,57720,14429,3.3609603999648243,0.021509199985302985,0.7967288100353455,0.8779557589626239,0.7886110687604818,0.2933231396534149,0.4397325692454632,0.918432629762425,0.5379855860643151,0.8332834138615528,10345,2773,160,1151
logistic_regression,2,1,57719,14430,2.122503799968399,0.08800580003298819,0.7947331947331947,0.8704268292682927,0.7871626772373838,0.2902897813929842,0.43537933663743805,0.9175613172553817,0.551240797975487,0.8287947532528382,10326,2792,170,1142
logistic_regression,2,2,57719,14430,2.593770599924028,0.02379000000655651,0.7903672903672904,0.868140243902439,0.7825888092697058,0.28539213229766974,0.4295681689609655,0.9138609116499764,0.5451979747630472,0.8253645265860724,10266,2852,173,1139
logistic_regression,2,3,57719,14430,5.410400000051595,0.02513109997380525,0.7990990990990992,0.8704268292682927,0.7919652386034457,0.2950142082149315,0.44067142581516494,0.9204112111825492,0.5580194266430866,0.8311960339358693,10389,2729,170,1142
logistic_regression,2,4,57719,14430,4.920991399907507,0.01584880007430911,0.8004851004851005,0.8788109756097561,0.7926513187985973,0.29770203976245807,0.4447444551591128,0.9206607054540586,0.5543172937773859,0.8357311472041766,10398,2720,159,1153
logistic_regression,2,5,57720,14429,2.064077200018801,0.026619600015692413,0.7948575784877677,0.8909229595728452,0.7852568989175179,0.293099121706399,0.44108761329305135,0.9224369156848783,0.5565623549156613,0.8380899292451816,10301,2817,143,1168
logistic_regression,3,1,57719,14430,2.2172202999936417,0.021069100010208786,0.8,0.8765243902439024,0.7923463942674188,0.2968508002065049,0.44350173544157345,0.9215800110814039,0.5664434324265937,0.8344353922556607,10394,2724,162,1150
logistic_regression,3,2,57719,14430,1.853614900028333,0.02140600001439452,0.7910602910602911,0.8765243902439024,0.7825125781369111,0.2872845365975518,0.43273753527751646,0.9195139846942758,0.5428860269369404,0.8295184841904067,10265,2853,162,1150
logistic_regression,3,3,57719,14430,2.231845499947667,0.02068620000500232,0.7966042966042967,0.8742378048780488,0.7888397621588656,0.29282614245596117,0.43870720979154715,0.9171362357252556,0.5323062136703213,0.8315387835184572,10348,2770,165,1147
logistic_regression,3,4,57719,14430,2.3316959999501705,0.01726810005493462,0.7932778932778933,0.8666158536585366,0.7859429791126696,0.28821292775665397,0.43256610233973747,0.9160409361183107,0.5455577721809342,0.8262794163856031,10310,2808,175,1137
logistic_regression,3,5,57720,14429,1.8316921000368893,0.01908269990235567,0.7965902002910804,0.8832951945080092,0.7879249885653301,0.2939086294416244,0.44105884593410777,0.9217278382257905,0.5939478670593146,0.8356100915366697,10336,2782,153,1158
logistic_regression,4,1,57719,14430,2.7930267000338063,0.019620500039309263,0.7923769923769923,0.8879573170731707,0.7828175026680897,0.2902341803687095,0.43747653022906496,0.9215142384881695,0.5716525211761251,0.8353874098706302,10269,2849,147,1165
logistic_regression,4,2,57719,14430,1.6882207999005914,0.017565499991178513,0.7941094941094942,0.8689024390243902,0.7866290593078213,0.2894135567402894,0.43420300895067604,0.9181216625638203,0.5583853761728382,0.8277657491661058,10319,2799,172,1140
logistic_regression,4,3,57719,14430,4.096378699992783,0.019706399994902313,0.8011088011088011,0.8704268292682927,0.79417594145449,0.29724102030192606,0.443150950717889,0.9175923733075758,0.5512356670114313,0.8323013853613914,10418,2700,170,1142
logistic_regression,4,4,57719,14430,2.671041200053878,0.015159999951720238,0.8000693000693001,0.8704268292682927,0.7930324744625705,0.2960850401866736,0.4418649642097117,0.9188532955090566,0.5451244257278145,0.8317296518654316,10403,2715,170,1142
logistic_regression,4,5,57720,14429,2.278003199957311,0.02499469998292625,0.7904913715434195,0.8863463005339436,0.7809117243482239,0.28790882061446976,0.43463624462315315,0.9206230973470985,0.548851782570481,0.8336290124410837,10244,2874,149,1162
logistic_regression,5,1,57719,14430,1.6762597999768332,0.02714150003157556,0.7982674982674983,0.8757621951219512,0.7905168470803476,0.29484218629715164,0.44115953157995774,0.9212164025226925,0.580546885589592,0.8331395211011494,10370,2748,163,1149
logistic_regression,5,2,57719,14430,4.637213600100949,0.018181500025093555,0.7963270963270963,0.8803353658536586,0.7879249885653301,0.2933705867411735,0.4400838254905696,0.9194591935675799,0.5505554835020022,0.8341301772094943,10336,2782,157,1155
logistic_regression,5,3,57719,14430,2.0179480999941006,0.015538100036792457,0.7988218988218988,0.8765243902439024,0.79105046500991,0.2955538421999486,0.44205266192581205,0.9184603449365795,0.5331264388019444,0.8337874276269062,10377,2741,162,1150
logistic_regression,5,4,57719,14430,2.456567900022492,0.018077600048854947,0.7926541926541927,0.8734756097560976,0.7845708187223662,0.28851963746223563,0.43376230128690385,0.9186139983136187,0.5576616578927582,0.829023214239232,10292,2826,166,1146
logistic_regression,5,5,57720,14429,5.882478500017896,0.024482999928295612,0.7949961882320327,0.8718535469107551,0.787315139502973,0.2906178489702517,0.43592677345537756,0.9180615917316376,0.5459937711937652,0.8295843432068641,10328,2790,168,1143
decision_tree,1,1,57719,14430,0.6318714999360964,0.04209839995019138,0.9356202356202357,0.7362804878048781,0.9555572495807287,0.6236281471917366,0.6752883607130374,0.8548643771451627,0.6110774854175665,0.8459188686928034,12535,583,346,966
decision_tree,1,2,57719,14430,0.6405160999856889,0.022275099996477365,0.9379764379764379,0.7515243902439024,0.9566244854398537,0.6340836012861736,0.6878269968608302,0.8630872586169069,0.629588052443506,0.8540744378418781,12549,569,326,986
decision_tree,1,3,57719,14430,0.6567761999322101,0.02807520003989339,0.9358281358281358,0.7637195121951219,0.9530416221985059,0.619283065512979,0.6839590443686007,0.8686707823731309,0.635626019126427,0.8583805671968139,12502,616,310,1002
decision_tree,1,4,57719,14430,0.7008034000173211,0.03408160002436489,0.9312543312543312,0.7339939024390244,0.9509833816130507,0.599626400996264,0.6600411240575736,0.8515857411990226,0.5855358413627493,0.8424886420260376,12475,643,349,963
decision_tree,1,5,57720,14429,0.6706033999798819,0.024925700039602816,0.9324277496708019,0.7261632341723875,0.9530416221985059,0.6071428571428571,0.6613407433136506,0.8488056948086888,0.5946415258982917,0.8396024281854466,12502,616,359,952
decision_tree,2,1,57719,14430,0.7842228000517935,0.028067999985069036,0.9358974358974359,0.739329268292683,0.9555572495807287,0.6245975531229878,0.6771378708551483,0.8558790588429973,0.6060037407672693,0.8474432589367058,12535,583,342,970
decision_tree,2,2,57719,14430,0.7024362999945879,0.0381012000143528,0.9308385308385309,0.7172256097560976,0.9522030797377649,0.6001275510204082,0.6534722222222222,0.8440789210691695,0.5886299909083054,0.8347143447469312,12491,627,371,941
decision_tree,2,3,57719,14430,0.8422497999854386,0.026214399957098067,0.9395010395010395,0.7576219512195121,0.9576917212989785,0.6417043253712073,0.694861936385879,0.8666440336123516,0.639068806788467,0.8576568362592454,12563,555,318,994
decision_tree,2,4,57719,14430,0.7963714000070468,0.029322699992917478,0.934927234927235,0.7454268292682927,0.9538801646592469,0.6178142766898295,0.6756476683937824,0.858300443163183,0.6008463460414668,0.8496534969637698,12513,605,334,978
decision_tree,2,5,57720,14429,0.7828729000175372,0.032892300048843026,0.9350613348118373,0.7597254004576659,0.9525842354017381,0.61557478368356,0.6800955957664732,0.8659018491893509,0.6224041591789408,0.856154817929702,12496,622,315,996
decision_tree,3,1,57719,14430,0.6966552999801934,0.026557100005447865,0.9365211365211366,0.7309451219512195,0.9570818722366214,0.6300919842312747,0.6767819336626676,0.8522078209423656,0.6031511699953256,0.8440134970939205,12555,563,353,959
decision_tree,3,2,57719,14430,0.7681355000240728,0.03102320001926273,0.9355509355509356,0.7378048780487805,0.9553285561823449,0.6229086229086229,0.6755059316120028,0.8554414270653989,0.6104755793715648,0.8465667171155626,12532,586,344,968
decision_tree,3,3,57719,14430,0.7132428999757394,0.02449809992685914,0.9315315315315316,0.729420731707317,0.9517456929409971,0.6018867924528302,0.6595451412818746,0.8497953554323049,0.5868060715034407,0.840583212324157,12485,633,355,957
decision_tree,3,4,57719,14430,0.8053324999054894,0.02484490000642836,0.9345807345807345,0.7553353658536586,0.9525080042689434,0.614002478314746,0.6773752563226247,0.8629382244281736,0.6068473885020368,0.853921685061301,12495,623,321,991
decision_tree,3,5,57720,14429,0.6588816000148654,0.02257069991901517,0.9387344930348603,0.7635392829900839,0.9562433297758804,0.6355555555555555,0.6936936936936937,0.8687632786667145,0.6336354104865022,0.8598913063829822,12544,574,310,1001
decision_tree,4,1,57719,14430,0.6224264000775293,0.025109599926508963,0.9307692307692308,0.7446646341463414,0.9493825278243635,0.5953686776355881,0.6616999661361328,0.8570350470308903,0.5982213012644674,0.8470235809853525,12454,664,335,977
decision_tree,4,2,57719,14430,0.717105699935928,0.031557400012388825,0.9345807345807345,0.7370426829268293,0.9543375514560146,0.6174968071519795,0.6719944405837387,0.8546132850412206,0.6032639295648056,0.845690117191422,12519,599,345,967
decision_tree,4,3,57719,14430,0.7772914000088349,0.03009770007338375,0.9383922383922384,0.7439024390243902,0.9578441835645678,0.6383257030739045,0.687082013375572,0.8593453965227448,0.6213990221424414,0.8508733112944791,12565,553,336,976
decision_tree,4,4,57719,14430,0.8884468000615016,0.039689900004304945,0.9354816354816354,0.7408536585365854,0.9549474005183717,0.6218809980806143,0.6761739130434783,0.8574424361982603,0.6212257765353746,0.8479005295274785,12527,591,340,972
decision_tree,4,5,57720,14429,0.7733643000246957,0.0225380000192672,0.9364474322544875,0.738367658276125,0.9562433297758804,0.6277561608300908,0.678583946722748,0.8557419429042188,0.6067256284663212,0.8473054940260027,12544,574,343,968
decision_tree,5,1,57719,14430,0.6942542999750003,0.024110500002279878,0.9365904365904366,0.7530487804878049,0.9549474005183717,0.6257124762507916,0.6835005188516085,0.8628638525913007,0.6178612766189844,0.8539980905030883,12527,591,324,988
decision_tree,5,2,57719,14430,0.7482728000031784,0.02562440000474453,0.9344421344421344,0.7469512195121951,0.9531940844640951,0.6148055207026348,0.6744666207845836,0.8590833520037633,0.6054016943890919,0.8500726519881452,12504,614,332,980
decision_tree,5,3,57719,14430,0.7163059000158682,0.02535050001461059,0.9309078309078309,0.7378048780487805,0.9502210702851044,0.5971622455274522,0.6600750085236958,0.8539577089197862,0.5976134521286659,0.8440129741669424,12465,653,344,968
decision_tree,5,4,57719,14430,0.6048279000679031,0.030407800106331706,0.9386001386001386,0.743140243902439,0.9581491080957463,0.639763779527559,0.6875881523272215,0.8591799772887003,0.6256161397820516,0.8506446759990927,12569,549,337,975
decision_tree,5,5,57720,14429,0.7177234999835491,0.02611340000294149,0.9342296763462471,0.7284515636918383,0.9547949382527824,0.6169250645994832,0.6680657572577824,0.8504743774428414,0.60094811974951,0.8416232509723103,12525,593,356,955
random_forest,1,1,57719,14430,4.184378000092693,0.11837870010640472,0.955994455994456,0.7416158536585366,0.9774355846927886,0.7667454688731284,0.7539713289422705,0.9592546047787622,0.83687932156279,0.8595257191756626,12822,296,339,973
random_forest,1,2,57719,14430,3.990289599983953,0.1320445000892505,0.9552321552321552,0.7469512195121951,0.9760634243024852,0.7573415765069552,0.7521105141980046,0.9584044707700088,0.8345924802823719,0.8615073219073401,12804,314,332,980
random_forest,1,3,57719,14430,4.529638000065461,0.1196510000154376,0.9545391545391545,0.7560975609756098,0.9743863393810032,0.7469879518072289,0.7515151515151515,0.9613887569305256,0.8390264584733184,0.8652419501783064,12782,336,320,992
random_forest,1,4,57719,14430,3.442439000005834,0.1214003999484703,0.9532917532917533,0.7522865853658537,0.973395334654673,0.7387724550898204,0.7454682779456193,0.9559693741423998,0.8245748708239791,0.8628409600102633,12769,349,325,987
random_forest,1,5,57720,14429,3.4622731000417843,0.12854199996218085,0.9534964307990852,0.7376048817696415,0.9750724195761549,0.7472952086553323,0.7424184261036468,0.9564888858962404,0.8233117311206406,0.8563386506728982,12791,327,344,967
random_forest,2,1,57719,14430,3.266022600000724,0.10174429998733103,0.9547470547470548,0.7461890243902439,0.9756060375057173,0.7536566589684373,0.7499042512447338,0.9586240129462775,0.8291754664919044,0.8608975309479806,12798,320,333,979
random_forest,2,2,57719,14430,3.337550700060092,0.09997890004888177,0.9521829521829522,0.7103658536585366,0.9763683488336636,0.750402576489533,0.7298355520751761,0.9491763202860339,0.8021067450823167,0.8433671012461001,12808,310,380,932
random_forest,2,3,57719,14430,3.6178620000137016,0.10513409995473921,0.9555093555093556,0.7461890243902439,0.9764445799664583,0.7600931677018633,0.7530769230769231,0.9578053126592022,0.8356813142664455,0.861316802178351,12809,309,333,979
random_forest,2,4,57719,14430,4.017152699991129,0.10548889997880906,0.9534303534303534,0.7507621951219512,0.9737002591858515,0.7406015037593985,0.7456472369417109,0.9601703951747552,0.8372760268034918,0.8622312271539013,12773,345,327,985
random_forest,2,5,57720,14429,3.8730741000035778,0.12195970001630485,0.9535657356712177,0.7581998474446987,0.9730904101234944,0.7379361544172235,0.7479307750188111,0.9620047985492011,0.8430165932171163,0.8656451287840965,12765,353,317,994
random_forest,3,1,57719,14430,3.8326415000483394,0.10900880000554025,0.9556479556479557,0.7454268292682927,0.9766732733648422,0.7616822429906542,0.7534668721109399,0.9615112671008741,0.8401331515307852,0.8610500513165675,12812,306,334,978
random_forest,3,2,57719,14430,4.123900100006722,0.19509829999879003,0.9531531531531532,0.7240853658536586,0.9760634243024852,0.7515822784810127,0.7375776397515528,0.9584243419951732,0.8270226275223431,0.8500743950780718,12804,314,362,950
random_forest,3,3,57719,14430,4.516906700097024,0.2782017000718042,0.9517671517671518,0.7515243902439024,0.9717944808659856,0.7271386430678466,0.7391304347826086,0.9532649991726135,0.8197402463439653,0.8616594355549441,12748,370,326,986
random_forest,3,4,57719,14430,3.295302900020033,0.11258059996180236,0.9534303534303534,0.739329268292683,0.974843726177771,0.7461538461538462,0.7427258805513017,0.9574403967830463,0.8271952687827413,0.857086497235227,12788,330,342,970
random_forest,3,5,57720,14429,3.5870278000365943,0.1058957000495866,0.955506272090928,0.7581998474446987,0.9752248818417442,0.7536012130401819,0.755893536121673,0.9614919973591813,0.843594626761796,0.8667123646432214,12793,325,317,994
random_forest,4,1,57719,14430,3.0663907000562176,0.10882740002125502,0.9548856548856549,0.7660060975609756,0.9737764903186461,0.7449962935507783,0.7553551296505073,0.9629774090897261,0.8436832529570865,0.8698912939398109,12774,344,307,1005
random_forest,4,2,57719,14430,3.738603699952364,0.12105830002110451,0.9528759528759528,0.7423780487804879,0.9739289525842354,0.7401215805471124,0.741248097412481,0.9556775518371704,0.8267827068602296,0.8581535006823616,12776,342,338,974
random_forest,4,3,57719,14430,3.51763989997562,0.10165389999747276,0.9542619542619543,0.7439024390243902,0.9753011129745388,0.7507692307692307,0.7473200612557427,0.9575523903108369,0.8334248286653204,0.8596017759994645,12794,324,336,976
random_forest,4,4,57719,14430,3.303586299996823,0.17006090003997087,0.953915453915454,0.7233231707317073,0.9769781978960207,0.7585931254996003,0.740538431525556,0.9586238967402825,0.8271830368373718,0.850150684313864,12816,302,363,949
random_forest,4,5,57720,14429,3.3249768000096083,0.10050639999099076,0.9571002841499757,0.7513348588863463,0.9776642780911724,0.770735524256651,0.7609115488605639,0.9589254329271277,0.836307752962531,0.8644995684887593,12825,293,326,985
random_forest,5,1,57719,14430,3.407552900025621,0.11700339999515563,0.9545391545391545,0.7614329268292683,0.9738527214514408,0.7444113263785395,0.7528259231348907,0.956603597412232,0.8337304182235122,0.8676428241403545,12775,343,313,999
random_forest,5,2,57719,14430,3.6295163000468165,0.140835199970752,0.9544698544698544,0.760670731707317,0.9738527214514408,0.744220730797912,0.7523558235959291,0.9624248495829599,0.8467171148639332,0.8672617265793789,12775,343,314,998
random_forest,5,3,57719,14430,3.76270459999796,0.13673110003583133,0.9512820512820512,0.7362804878048781,0.9727854855923159,0.7301587301587301,0.7332068311195445,0.9556133480248699,0.8181690272024797,0.854532986698597,12761,357,346,966
random_forest,5,4,57719,14430,3.5792720000026748,0.10192120005376637,0.9555093555093556,0.7461890243902439,0.9764445799664583,0.7600931677018633,0.7530769230769231,0.9604106801211516,0.8360339949019595,0.861316802178351,12809,309,333,979
random_forest,5,5,57720,14429,3.3116028000367805,0.10112030000891536,0.9539122600318802,0.7322654462242563,0.9760634243024852,0.7535321821036107,0.7427466150870407,0.9568423343635873,0.8260330918821063,0.8541644352633707,12804,314,351,960
